

2019-04-06 00:28:12.506639
sparsity scale set to 200

32, 92.894, 0.134, 73.430, 60.840, 0.169
33, 92.900, 0.016, 73.560, 60.860, 0.126
34, 92.908, 0.080, 73.410, 60.860, 0.149
35, 92.683, 0.203, 73.050, 60.620, 0.196
1, 85.643, 0.200, 73.570, 73.550, 0.773
2, 103.423, 0.200, 73.570, 71.020, 1.243
3, 79.945, 0.600, 67.660, 67.660, 2.322
4, 100.651, 0.600, 67.660, 67.890, 2.322
5, 42.123, 0.900, 29.680, 29.690, 3.484
6, 103.442, 0.230, 73.490, 71.020, 1.301
7, 103.433, 0.216, 73.600, 71.020, 1.274
8, 103.433, 0.215, 73.630, 71.020, 1.273
9, 103.485, 0.297, 73.120, 71.020, 1.432
10, 103.499, 0.303, 73.010, 71.030, 1.443
11, 103.600, 0.363, 72.810, 71.090, 1.568
12, 103.613, 0.406, 72.240, 71.070, 1.668
13, 103.866, 0.423, 71.690, 71.310, 1.709
14, 103.971, 0.427, 71.480, 71.410, 1.722
15, 103.557, 0.455, 70.870, 70.970, 1.801
16, 103.653, 0.380, 72.250, 71.130, 1.607
17, 103.168, 0.400, 72.040, 70.630, 1.652
18, 103.545, 0.409, 72.130, 71.000, 1.675
19, 103.628, 0.332, 72.470, 71.140, 1.502
20, 103.977, 0.423, 71.740, 71.420, 1.710
21, 103.565, 0.383, 72.270, 71.040, 1.613
22, 103.469, 0.272, 73.230, 71.020, 1.383
23, 103.974, 0.431, 71.440, 71.410, 1.732
24, 103.459, 0.319, 72.890, 70.980, 1.475
25, 103.465, 0.282, 73.280, 71.010, 1.402
26, 103.633, 0.354, 72.750, 71.130, 1.549
27, 103.759, 0.347, 72.890, 71.260, 1.535
28, 103.484, 0.408, 72.100, 70.940, 1.672
29, 103.640, 0.336, 72.390, 71.150, 1.510
30, 103.444, 0.310, 72.890, 70.970, 1.459
31, 103.566, 0.385, 72.200, 71.040, 1.617
32, 103.450, 0.320, 72.710, 70.970, 1.478
33, 103.651, 0.377, 72.520, 71.130, 1.601
34, 103.450, 0.320, 72.810, 70.970, 1.477
35, 96.210, 0.403, 71.940, 71.830, 1.558
1, 87.748, 0.200, 73.580, 73.550, 15.481
2, 114.033, 0.200, 73.580, 72.760, 22.467
3, 93.819, 0.600, 71.400, 71.410, 46.451
4, 131.039, 0.600, 71.400, 71.280, 46.451
5, 90.333, 0.900, 50.810, 50.760, 69.676
6, 130.858, 0.604, 71.270, 70.790, 46.727
7, 133.453, 0.634, 70.780, 70.560, 49.120
8, 139.058, 0.720, 67.040, 66.740, 55.751
9, 147.277, 0.806, 61.860, 62.150, 62.409
10, 154.724, 0.870, 56.920, 56.780, 67.328
11, 161.198, 0.941, 43.200, 43.340, 72.849
12, 162.146, 0.990, 25.000, 25.040, 76.660
13, 162.146, 0.990, 25.000, 25.040, 76.660
14, 160.850, 0.982, 27.040, 27.180, 76.060
15, 162.146, 0.990, 25.000, 25.040, 76.660
16, 162.146, 0.990, 25.000, 25.040, 76.660
17, 162.146, 0.990, 25.000, 25.040, 76.660
18, 162.146, 0.990, 25.000, 25.040, 76.660
19, 162.146, 0.990, 25.000, 25.040, 76.660
20, 162.146, 0.990, 25.000, 25.040, 76.660
21, 162.146, 0.990, 25.000, 25.040, 76.660
22, 162.146, 0.990, 25.000, 25.040, 76.660
23, 162.146, 0.990, 25.000, 25.040, 76.660
24, 162.126, 0.990, 25.000, 25.020, 76.660
25, 162.116, 0.990, 25.000, 25.010, 76.660
26, 162.146, 0.990, 25.000, 25.040, 76.660
27, 162.136, 0.990, 25.000, 25.030, 76.660
28, 162.146, 0.990, 25.000, 25.040, 76.660
29, 162.146, 0.990, 25.000, 25.040, 76.660
30, 162.146, 0.990, 25.000, 25.040, 76.660
31, 160.585, 0.985, 25.550, 25.730, 76.271
32, 162.146, 0.990, 25.000, 25.040, 76.660
33, 160.997, 0.988, 24.940, 24.930, 76.482
34, 162.146, 0.990, 25.000, 25.040, 76.660
35, 162.146, 0.990, 25.000, 25.040, 76.660
1, 86.103, 0.200, 73.690, 73.700, 3.250
2, 106.555, 0.200, 73.690, 73.210, 4.034
3, 86.327, 0.600, 73.000, 73.030, 9.754
4, 107.909, 0.600, 73.000, 72.450, 9.754
5, 80.977, 0.900, 66.920, 66.920, 14.631
6, 107.594, 0.441, 73.230, 73.120, 7.175
7, 108.150, 0.558, 73.010, 72.960, 9.065
8, 107.759, 0.617, 72.570, 72.190, 10.033
9, 107.955, 0.484, 73.260, 73.220, 7.873
10, 108.102, 0.534, 73.140, 73.060, 8.681
11, 108.044, 0.542, 73.120, 72.950, 8.817
12, 107.143, 0.351, 73.500, 73.200, 5.724
13, 107.819, 0.572, 72.860, 72.540, 9.294
14, 108.072, 0.673, 72.240, 72.140, 10.944
15, 107.926, 0.600, 72.940, 72.470, 9.747
16, 107.967, 0.677, 72.100, 72.010, 11.004
17, 107.586, 0.452, 73.230, 73.050, 7.343
18, 107.955, 0.634, 72.740, 72.280, 10.301
19, 107.684, 0.775, 71.000, 71.070, 12.602
20, 107.781, 0.474, 73.210, 73.110, 7.704
21, 107.846, 0.700, 71.990, 71.740, 11.371
22, 107.994, 0.520, 73.230, 73.040, 8.451
23, 107.818, 0.578, 72.950, 72.500, 9.394
24, 107.542, 0.421, 73.520, 73.190, 6.846
25, 107.786, 0.778, 70.990, 71.150, 12.654
26, 107.551, 0.448, 73.240, 73.040, 7.275
27, 107.903, 0.587, 72.930, 72.530, 9.536
28, 107.932, 0.713, 72.190, 71.740, 11.583
29, 107.977, 0.675, 72.210, 72.030, 10.980
30, 107.087, 0.812, 70.190, 70.220, 13.200
31, 124.654, 0.525, 73.200, 71.750, 9.269
32, 124.642, 0.507, 73.250, 71.830, 9.111
33, 124.620, 0.522, 73.220, 71.730, 9.245
34, 124.628, 0.514, 73.160, 71.780, 9.174
35, 124.583, 0.519, 73.240, 71.710, 9.217
1, 85.502, 0.200, 73.480, 73.470, 0.269
2, 105.544, 0.200, 73.480, 73.450, 0.292
3, 84.248, 0.600, 72.180, 72.150, 0.813
4, 104.182, 0.600, 72.180, 71.920, 0.813
5, 58.888, 0.900, 46.780, 46.740, 1.220
6, 105.365, 0.263, 73.520, 73.250, 0.358
7, 105.381, 0.224, 73.510, 73.280, 0.314
8, 105.381, 0.225, 73.510, 73.280, 0.314
9, 104.763, 0.442, 73.000, 72.570, 0.598
10, 105.544, 0.154, 73.600, 73.460, 0.260
11, 105.545, 0.160, 73.630, 73.460, 0.264
12, 105.548, 0.174, 73.600, 73.460, 0.274
13, 105.527, 0.080, 73.560, 73.460, 0.210
14, 105.535, 0.115, 73.520, 73.460, 0.234
15, 105.510, 0.044, 73.550, 73.450, 0.186
16, 105.512, 0.010, 73.540, 73.460, 0.163
17, 105.117, 0.339, 73.590, 72.970, 0.458
18, 105.542, 0.055, 73.550, 73.480, 0.194
19, 105.512, 0.010, 73.540, 73.460, 0.163
20, 105.515, 0.068, 73.540, 73.450, 0.202
21, 105.512, 0.010, 73.540, 73.460, 0.163
22, 105.526, 0.074, 73.550, 73.460, 0.206
23, 105.512, 0.010, 73.540, 73.460, 0.163
24, 105.532, 0.100, 73.590, 73.460, 0.224
25, 105.506, 0.026, 73.540, 73.450, 0.173
26, 119.425, 0.134, 73.490, 71.210, 0.445
27, 119.425, 0.166, 73.610, 71.200, 0.467
28, 119.433, 0.158, 73.620, 71.210, 0.462
29, 119.425, 0.135, 73.520, 71.210, 0.446
30, 119.429, 0.146, 73.520, 71.210, 0.453
31, 119.430, 0.152, 73.580, 71.210, 0.457
32, 119.429, 0.147, 73.520, 71.210, 0.454
33, 119.430, 0.150, 73.590, 71.210, 0.456
34, 119.438, 0.174, 73.600, 71.210, 0.473
35, 119.427, 0.140, 73.520, 71.210, 0.449

 Final Sparsity: 87.59    Final Top1: 62.200


2019-04-15 01:57:35.494057
Compression scale set to 1.5

21, 78.939, 0.200, 73.010, 72.930, 0.144
2, 47.366, 0.946, 22.030, 23.200, 0.688
3, 76.875, 0.106, 73.600, 60.850, 0.159
1, 79.597, 0.200, 73.570, 73.550, 0.773
2, 42.772, 0.946, 17.410, 17.860, 3.661
3, 87.192, 0.106, 73.410, 71.020, 1.062
1, 80.649, 0.200, 73.580, 73.550, 15.481
2, 131.483, 0.946, 42.160, 41.760, 73.251
3, 92.402, 0.106, 73.580, 72.830, 18.251
1, 79.902, 0.200, 73.690, 73.700, 3.250
2, 87.745, 0.946, 60.450, 59.380, 15.387
3, 89.751, 0.106, 73.580, 73.210, 3.271
1, 79.486, 0.200, 73.480, 73.470, 0.269
2, 61.102, 0.946, 39.610, 36.790, 1.282
3, 89.497, 0.106, 73.570, 73.460, 0.228


2019-04-15 02:15:18.363996
Compression scale set to 1.5

01, 78.929, 0.200, 73.010, 72.920, 0.144
1, 79.597, 0.200, 73.570, 73.550, 0.773
1, 80.649, 0.200, 73.580, 73.550, 15.481
1, 79.902, 0.200, 73.690, 73.700, 3.250
1, 79.486, 0.200, 73.480, 73.470, 0.269

 Final Sparsity: 19.93    Final Top1: 74.160


2019-04-15 02:31:28.664486
Compression scale set to 1.25

501, 59.350, 0.200, 73.010, 39.290, 0.300
2, 80.436, 0.200, 73.010, 70.420, 0.155
3, 77.937, 0.200, 73.010, 72.930, 0.144
4, 49.352, 0.900, 29.810, 29.220, 0.654
5, 34.803, 0.900, 29.810, 29.770, 0.654
6, 74.194, 0.085, 73.550, 60.840, 0.152
7, 74.195, 0.106, 73.600, 60.840, 0.159
8, 63.533, 0.499, 68.120, 43.450, 0.414
9, 40.158, 0.813, 34.370, 34.410, 0.589
10, 80.355, 0.195, 73.080, 70.340, 0.152
11, 80.058, 0.237, 72.920, 70.040, 0.176
12, 80.503, 0.153, 73.340, 70.490, 0.127
13, 80.524, 0.172, 73.300, 70.510, 0.140
14, 80.374, 0.167, 73.310, 70.360, 0.136
15, 80.650, 0.107, 73.670, 70.640, 0.104
16, 80.612, 0.129, 73.450, 70.600, 0.115
17, 80.618, 0.042, 73.500, 70.610, 0.080
18, 80.619, 0.079, 73.410, 70.610, 0.093
19, 80.618, 0.034, 73.530, 70.610, 0.077
20, 80.619, 0.062, 73.490, 70.610, 0.086
21, 80.617, 0.010, 73.540, 70.610, 0.068
22, 80.617, 0.010, 73.540, 70.610, 0.068
23, 80.587, 0.010, 73.540, 70.580, 0.068
24, 80.597, 0.010, 73.540, 70.590, 0.068
25, 80.618, 0.049, 73.460, 70.610, 0.082
26, 80.617, 0.010, 73.540, 70.610, 0.068
27, 78.520, 0.012, 73.540, 73.520, 0.008
28, 80.618, 0.041, 73.580, 70.610, 0.079
29, 80.618, 0.055, 73.470, 70.610, 0.084
30, 80.618, 0.046, 73.520, 70.610, 0.081
31, 80.607, 0.016, 73.520, 70.600, 0.070
32, 80.607, 0.023, 73.560, 70.600, 0.073
33, 80.619, 0.070, 73.430, 70.610, 0.090
34, 80.618, 0.053, 73.470, 70.610, 0.084
35, 80.617, 0.028, 73.520, 70.610, 0.074
36, 80.618, 0.041, 73.580, 70.610, 0.079
37, 80.619, 0.078, 73.410, 70.610, 0.093
38, 80.612, 0.135, 73.430, 70.600, 0.118
39, 80.611, 0.125, 73.560, 70.600, 0.114
40, 80.610, 0.095, 73.460, 70.600, 0.098
41, 80.607, 0.010, 73.540, 70.600, 0.068
42, 80.571, 0.119, 73.620, 70.560, 0.110
43, 80.617, 0.010, 73.540, 70.610, 0.068
44, 80.618, 0.052, 73.470, 70.610, 0.083
45, 80.571, 0.119, 73.620, 70.560, 0.110
46, 80.207, 0.218, 72.920, 70.190, 0.166
47, 80.571, 0.115, 73.630, 70.560, 0.108
48, 80.640, 0.101, 73.510, 70.630, 0.102
49, 80.619, 0.084, 73.500, 70.610, 0.094
50, 80.650, 0.105, 73.600, 70.640, 0.103
51, 80.620, 0.090, 73.500, 70.610, 0.097
52, 80.650, 0.101, 73.510, 70.640, 0.102
53, 80.571, 0.118, 73.560, 70.560, 0.109
54, 74.207, 0.150, 73.410, 60.850, 0.175
55, 80.524, 0.173, 73.300, 70.510, 0.140
1, 72.671, 0.200, 73.570, 52.290, 1.871
2, 82.844, 0.200, 73.570, 72.760, 0.833
3, 78.589, 0.200, 73.570, 73.550, 0.773
4, 51.712, 0.900, 29.680, 30.990, 3.484
5, 34.870, 0.900, 29.680, 29.690, 3.484
6, 84.481, 0.085, 73.450, 71.010, 1.021
7, 84.481, 0.084, 73.480, 71.010, 1.019
8, 84.496, 0.104, 73.430, 71.020, 1.057
9, 84.493, 0.094, 73.460, 71.020, 1.039
10, 84.499, 0.114, 73.400, 71.020, 1.078
11, 84.503, 0.133, 73.460, 71.020, 1.114
12, 84.508, 0.150, 73.430, 71.020, 1.147
13, 84.506, 0.180, 73.590, 71.010, 1.206
14, 84.521, 0.200, 73.640, 71.020, 1.245
15, 84.531, 0.239, 73.660, 71.020, 1.318
16, 84.539, 0.265, 73.400, 71.020, 1.371
17, 84.560, 0.307, 72.960, 71.030, 1.452
18, 84.649, 0.341, 72.720, 71.110, 1.521
19, 84.500, 0.407, 72.150, 70.940, 1.671
